cname,wdi_gdppppcon2011,wdi_pop,ti_cpi,lp_muslim80,fh_ipolity2,region
Afghanistan,57566228480,30682500,8,99.30000305175781,2.0188808,Southern Asia
Albania,28715335680,2897366,31,20.5,8.083333,Southern Europe
Algeria,507901640704,38186136,36,99.0999984741211,4.25,Northern Africa
Angola,152477499392,23448202,23,0,3.25,Middle Africa
Australia,990474338304,23125868,81,0.2000000029802322,10,Australia and New Zealand
Austria,373413642240,8479375,69,0.6000000238418579,10,Western Europe
Bahamas,8497731584,377841,71,0,10,Caribbean
Bahrain,56583507968,1349427,48,95,0.83333331,Western Asia
Bangladesh,446835425280,157157392,27,85.9000015258789,6.416667,Southern Asia
Barbados,4333428224,282503,75,0.2000000029802322,10,Caribbean
Belgium,452154359808,11182817,75,1.100000023841858,9.5,Western Europe
Bhutan,5408880640,754637,63,5,6.666667,Southern Asia
Bolivia,63344840704,10399931,34,0,7.583333,South America
Botswana,32652568576,2176510,64,0,8.25,Southern Africa
Brazil,3109301780480,204259376,42,0.1000000014901161,8.666666,South America
Solomon Islands,1145659520,560685,27.06381988525391,0,7.416667,Melanesia
Bulgaria,116402446336,7265115,41,10.60000038146973,8.916666,Eastern Europe
Burundi,7591006208,10465959,21,0.8999999761581421,5.6666665,Eastern Africa
Cambodia,44559769600,15078564,20,2.400000095367432,4.25,South-Eastern Asia
Cameroon,60961247232,22211166,25,22,2.3333333,Middle Africa
Canada,1484141756416,35158304,81,0.6000000238418579,10,Northern America
Cape Verde,3109324800,507258,58,0,10,Western Africa
Central African Republic,2696068096,4710678,25,3.200000047683716,2.5,Middle Africa
Sri Lanka,210763808768,20483000,37,7.199999809265137,5.333333,Southern Asia
Chad,26360129536,13145788,19,44,2.4166667,Middle Africa
Chile,383162515456,17575832,71,0,10,South America
China,16023988207616,1357379968,40,2.400000095367432,1.1666666,Eastern Asia
Colombia,582488686592,47342364,36,0.2000000029802322,7.166667,South America
Congo,25263572992,4394334,22,0.4000000059604645,2.75,Middle Africa
"Congo, Democratic Republic",48856649728,72552864,22,1.399999976158142,4.5833335,Middle Africa
Costa Rica,65419849728,4706433,53,0,10,Central America
Cuba,226685157376,11362505,46,0,1.1666666,Caribbean
Cyprus (1975-),25927987200,1141652,63,18.5,10,Western Asia
Benin,19267059712,10322232,36,15.19999980926514,8.416666,Western Africa
Denmark,238537654272,5614932,91,0.2000000029802322,10,Northern Europe
Dominica,722668736,72005,58,0,10,Caribbean
Dominican Republic,122657308672,10281408,29,0,8.25,Caribbean
Ecuador,166412222464,15661312,35,0,7.083333,South America
El Salvador,47729360896,6089644,38,0,8.25,Central America
Equatorial Guinea,27288633344,797082,19,0.5,1,Middle Africa
Finland,211395117056,5438972,89,0,10,Northern Europe
France (1963-),2459435270144,65925496,71,3,9.75,Western Europe
Djibouti,2578959104,864554,36,90.5999984741211,4.75,Eastern Africa
Gabon,29989974016,1650351,34,0.800000011920929,4.5,Middle Africa
Gambia,2973283840,1866878,28,84.80000305175781,2.0833333,Western Africa
Ghana,100308951040,26164432,46,15.69999980926514,9.083334,Western Africa
Kiribati,183852816,108544,30.80073928833008,0,10,Micronesia
Greece,265331441664,11027549,40,1.5,9.166666,Southern Europe
Guatemala,109252026368,15690793,29,0,7.416667,Central America
Guinea,14245600256,11948726,24,69,5.1666665,Western Africa
Guyana,5066298368,761033,27,9,7.75,South America
Haiti,16999370752,10431249,19,0,4.583333,Caribbean
Honduras,36168593408,7849059,26,0.1000000014901161,6.75,Central America
Hungary,225773780992,9893082,54,0,9.583334,Eastern Europe
Iceland,13266284544,323764,78,0,10,Northern Europe
India,6566166134784,1279498880,36,11.60000038146973,8.5,Southern Asia
Indonesia,2430921605120,251268272,32,43.40000152587891,7.833333,South-Eastern Asia
Iran,1236225490944,77152448,25,97.9000015258789,1.5833333,Southern Asia
Iraq,510895521792,33781384,16,95.80000305175781,4.5,Western Asia
Ireland,212357021696,4598294,72,0,10,Northern Europe
Israel,252213116928,8059500,61,8,8.583334,Western Asia
Italy,2035522732032,60233948,43,0.1000000014901161,10,Southern Europe
Cote d'Ivoire,63450914816,21622490,27,24,5.583333,Western Africa
Jamaica,22884503552,2714734,38,0.1000000014901161,8.5,Caribbean
Japan,4535077044224,127338624,74,0,10,Eastern Asia
Jordan,73674612736,6460000,45,93,3,Western Asia
Kenya,120041160704,43692880,27,6,7.25,Eastern Africa
"Korea, South",1641395650560,50219668,55,0,8.666666,Eastern Asia
Kuwait,266584637440,3593689,43,95.0999984741211,2.4166665,Western Asia
Laos,31582838784,6579985,26,1,1.1666666,South-Eastern Asia
Lebanon,74260979712,4493438,28,37.40000152587891,6.083333,Western Asia
Lesotho,5122459648,2083061,49,0,8.25,Southern Africa
Liberia,3508712448,4293692,38,21.20000076293945,6.916667,Western Africa
Libya,122544226304,6265987,15,98.0999984741211,4.583333,Northern Africa
Luxembourg,48842280960,543360,80,0,10,Western Europe
Madagascar,31329495040,22924556,28,1.700000047683716,5.333333,Eastern Africa
Malawi,12380572672,16190126,37,16.20000076293945,6.916667,Eastern Africa
Malaysia (1966-),690044600320,29465372,50,49.40000152587891,6.5,South-Eastern Asia
Maldives,4501654016,393000,24.70782089233398,99.9000015258789,5.3028378,Southern Asia
Mali,24318279680,16592097,28,80,5.833333,Western Africa
Malta,12202326016,423374,56,0,10,Southern Europe
Mauritania,13920699392,3872684,30,99.4000015258789,3.25,Western Africa
Mauritius,21580591104,1258653,52,16.39999961853027,9.583334,Eastern Africa
Mexico,1997247479808,123740112,34,0,7.833333,Central America
Mongolia,30755811328,2859174,38,1.399999976158142,9.583334,Eastern Asia
Morocco,240604184576,33452686,37,99.4000015258789,3.5833333,Northern Africa
Mozambique,27348721664,26467180,30,13,6.666667,Eastern Africa
Oman,151726620672,3906912,47,98.9000015258789,1.75,Western Asia
Nepal,60558823424,27834980,31,3,6.5,Southern Asia
Netherlands,762382450688,16804432,83,1,10,Western Europe
New Zealand,148189986816,4442100,91,0,10,Australia and New Zealand
Nicaragua,26950688768,5945646,28,0,7.666667,Central America
Niger,15995960320,18358864,34,87.9000015258789,6.916667,Western Africa
Nigeria,941462781952,172816512,25,45,5.583333,Western Africa
Norway,321651408896,5079623,86,0.1000000014901161,10,Northern Europe
Pakistan (1971-),810954457088,181192640,28,96.80000305175781,6.333333,Southern Asia
Panama,72620867584,3805683,35,4.5,8.916666,Central America
Papua New Guinea,18728710144,7308864,25,0,7.083333,Melanesia
Paraguay,53195030528,6465669,24,0,8.083333,South America
Peru,346126876672,30565460,38,0,8.5,South America
Philippines,621044039680,97571680,36,4.300000190734863,7.833333,South-Eastern Asia
Poland,881582014464,38040196,60,0,10,Eastern Europe
Portugal,269802504192,10457295,62,0,10,Southern Europe
Guinea-Bissau,2321010944,1757138,19,38.29999923706055,4,Western Africa
Qatar,280302059520,2101288,68,92.4000015258789,1.25,Western Asia
Romania,369987420160,19983692,43,1.200000047683716,8.916666,Eastern Europe
Rwanda,16797633536,11078095,53,8.600000381469727,3,Eastern Africa
St Lucia,1871906688,182305,71,0,10,Caribbean
Sao Tome and Principe,540452288,182386,42,0,8.5867939,Middle Africa
Saudi Arabia,1478747750400,30201052,46,98.80000305175781,0,Western Asia
Senegal,31186497536,14221041,41,91,8.416666,Western Africa
Seychelles,2229991168,89900,54,0.300000011920929,6.9448161,Eastern Africa
Sierra Leone,11324295168,6178859,30,39.40000152587891,7.583333,Western Africa
Singapore,419630612480,5399200,86,17.39999961853027,4.5,South-Eastern Asia
Vietnam,459724881920,89708896,31,1,1.5833333,South-Eastern Asia
South Africa,662033530880,53157488,42,1.299999952316284,8.916666,Southern Africa
Zimbabwe,25091758080,14898092,21,0.8999999761581421,4.75,Eastern Africa
Spain,1455944368128,46620044,59,0,10,Southern Europe
Suriname,8388805120,533450,36,13,7.9166665,South America
Swaziland,9799608320,1250641,39,0.1000000014901161,1.0833333,Southern Africa
Sweden,416946814976,9600379,89,0.1000000014901161,10,Northern Europe
Switzerland,444201566208,8089346,85,0.300000011920929,10,Western Europe
Thailand,1007950299136,67451424,35,3.900000095367432,6.75,South-Eastern Asia
Togo,9175073792,6928719,29,17,4.5,Western Africa
Tonga,513904512,105139,31.39193916320801,0,8.5867939,Polynesia
Trinidad and Tobago,40973463552,1348240,38,6.5,9.166666,Caribbean
